"[0.15600152 0.54249233 0.57835327 0.38070945 0.45595296 0.77750042
 0.77122271 0.18983664 0.41430241 0.61648866 0.13758092 0.43300123
 0.03873918 0.06644723 0.98015509 0.98180988 0.72753367 0.08347159
 0.21271162 0.89278038 0.91490535 0.93342714 0.92844034 0.78412715
 0.91856447 0.74633781 0.0561224  0.30130905 0.3507977  0.93781705
 0.74018751 0.02480551 0.84738601 0.96533582 0.5200838  0.29717347
 0.85656636 0.41234446 0.85041121 0.37978942 0.22530465 0.78191276
 0.97455816 0.17518698 0.39754798 0.15987977 0.2807619  0.03052676
 0.82905475 0.91180633 0.85110911 0.56550318 0.6961108  0.32221563
 0.41015378 0.30546797 0.09912646 0.43116119 0.83241663 0.5213438
 0.70283447 0.86503935 0.75185106 0.47704051 0.55264173 0.41225905
 0.67021671 0.35384744 0.41533449 0.08942215 0.27008792 0.39155896
 0.90406162 0.76693345 0.43685702 0.3635951  0.28936029 0.9176118
 0.25558711 0.5822129  0.73105277 0.69222021 0.58782039 0.64206669
 0.99274667 0.21170084 0.95177745 0.63546213 0.19509193 0.10099728
 0.35890263 0.95494781 0.69984501 0.666147   0.07128929 0.01756632
 0.82149969 0.24167629 0.73460527 0.217486  ]"
